delivery_id,order_id,pincode,delivery_success,transit_hours,quality_complaint,temperature_breach,is_rural
DEL000000,ORD000000,600002,True,82,False,False,False
DEL000001,ORD000001,600002,True,28,False,False,False
DEL000002,ORD000002,110002,True,31,False,False,False
DEL000003,ORD000003,560001,True,59,False,False,True
DEL000004,ORD000004,500001,True,31,False,False,False
DEL000005,ORD000005,226001,True,86,True,False,True
DEL000006,ORD000006,110002,True,28,False,False,False
DEL000007,ORD000007,560001,True,17,False,False,True
DEL000008,ORD000008,500002,True,19,True,False,False
DEL000009,ORD000009,500001,True,5,False,False,False
DEL000010,ORD000010,700001,True,55,False,False,True
DEL000011,ORD000011,700001,True,80,False,False,True
DEL000012,ORD000012,500003,True,55,False,False,False
DEL000013,ORD000013,226001,True,62,True,True,True
DEL000014,ORD000014,700001,True,95,False,False,True
DEL000015,ORD000015,500001,True,82,False,False,False
DEL000016,ORD000016,500001,False,65,False,False,False
DEL000017,ORD000017,500002,True,79,False,False,False
DEL000018,ORD000018,110002,False,59,False,False,False
DEL000019,ORD000019,600001,True,68,False,False,False
DEL000020,ORD000020,700001,True,43,True,False,True
DEL000021,ORD000021,110001,True,23,True,True,False
DEL000022,ORD000022,560001,False,31,False,False,True
DEL000023,ORD000023,110002,True,75,False,False,False
DEL000024,ORD000024,700001,True,91,False,False,True
DEL000025,ORD000025,226001,False,42,True,False,True
DEL000026,ORD000026,700001,True,38,False,False,True
DEL000027,ORD000027,500002,True,69,False,False,False
DEL000028,ORD000028,500001,True,21,False,False,False
DEL000029,ORD000029,700001,True,13,False,False,True
DEL000030,ORD000030,700001,True,76,False,False,True
DEL000031,ORD000031,500003,True,56,False,False,False
DEL000032,ORD000032,110002,True,18,True,False,False
DEL000033,ORD000033,560001,True,89,True,False,True
DEL000034,ORD000034,500002,True,9,False,False,False
DEL000035,ORD000035,500003,False,85,False,False,False
DEL000036,ORD000036,110002,True,78,False,False,False
DEL000037,ORD000037,500003,True,61,False,False,False
DEL000038,ORD000038,700001,False,15,False,False,True
DEL000039,ORD000039,110002,True,36,False,False,False
DEL000040,ORD000040,700001,False,56,False,False,True
DEL000041,ORD000041,110002,True,74,False,False,False
DEL000042,ORD000042,110001,False,61,True,False,False
DEL000043,ORD000043,600002,False,48,False,False,False
