order_id,customer_id,product_id,order_date,quantity,base_price,hidden_fee,discount_applied,delivery_type,cart_abandoned,order_hour,final_price
ORD000000,C01394,P0127,2024-11-23,2,233.33,0,0,standard,True,17,233.33
ORD000001,C02352,P0349,2024-02-27,2,119.47,0,0,standard,False,19,119.47
ORD000002,C03219,P0131,2024-01-13,7,808.82,149,200,standard,False,19,757.82
ORD000003,C01308,P0033,2024-05-20,9,318.33,149,50,standard,False,20,417.33
ORD000004,C03944,P0086,2024-05-05,3,535.39,99,0,quick,False,14,634.39
ORD000005,C01941,P0031,2024-04-24,7,440.84,99,0,standard,False,22,539.8399999999999
ORD000006,C00490,P0258,2024-03-12,3,233.56,0,0,standard,False,11,233.56
ORD000007,C01054,P0475,2024-02-22,6,596.02,49,100,quick,True,20,545.02
ORD000008,C00701,P0323,2024-12-12,3,529.8,149,200,quick,True,12,478.79999999999995
ORD000009,C02934,P0312,2024-10-06,1,783.99,49,50,quick,True,6,782.99
ORD000010,C04695,P0369,2024-02-14,6,302.14,0,0,standard,False,9,302.14
ORD000011,C01134,P0459,2024-10-29,3,268.13,49,100,standard,False,2,217.13
ORD000012,C00079,P0407,2024-08-04,1,1277.71,99,0,standard,False,1,1376.71
ORD000013,C00835,P0032,2024-01-17,5,946.91,0,0,quick,False,17,946.91
ORD000014,C00651,P0386,2024-01-16,8,1134.52,149,0,express,True,10,1283.52
ORD000015,C00416,P0387,2024-02-17,8,191.11,0,100,quick,True,12,91.11000000000001
ORD000016,C03680,P0285,2024-04-21,8,276.56,0,0,standard,True,23,276.56
ORD000017,C03866,P0325,2024-04-29,3,698.84,0,0,express,False,23,698.84
ORD000018,C00745,P0048,2024-09-15,8,1461.42,49,0,quick,False,23,1510.42
ORD000019,C02002,P0285,2024-11-04,4,1657.68,0,200,quick,True,4,1457.68
ORD000020,C00239,P0455,2024-01-14,8,1347.28,49,100,express,False,16,1296.28
ORD000021,C02893,P0081,2024-10-14,3,130.06,49,100,express,True,17,79.06
ORD000022,C01944,P0143,2024-04-11,3,1302.79,149,200,standard,False,9,1251.79
ORD000023,C00855,P0436,2024-11-28,1,1704.48,99,100,quick,True,6,1703.48
ORD000024,C03515,P0389,2024-12-25,8,139.9,149,100,standard,False,2,188.89999999999998
ORD000025,C02646,P0279,2024-10-06,8,475.83,99,0,standard,False,16,574.8299999999999
ORD000026,C03194,P0370,2024-08-02,9,637.43,149,50,standard,False,17,736.43
ORD000027,C04515,P0091,2024-04-22,6,284.46,149,0,standard,True,9,433.46
ORD000028,C04804,P0223,2024-08-17,2,607.96,49,200,quick,False,16,456.96000000000004
ORD000029,C02598,P0216,2024-10-28,1,1618.82,149,200,standard,False,10,1567.82
ORD000030,C01353,P0155,2024-05-22,8,1510.88,0,50,standard,True,20,1460.88
ORD000031,C02035,P0276,2024-01-04,4,2066.49,0,0,standard,False,5,2066.49
ORD000032,C02880,P0007,2024-03-22,7,562.3,0,0,standard,False,0,562.3
ORD000033,C00679,P0035,2024-12-23,4,469.02,149,0,quick,True,0,618.02
ORD000034,C00486,P0123,2024-08-04,1,866.19,49,0,express,False,17,915.19
ORD000035,C03620,P0008,2024-06-23,8,476.41,0,0,quick,True,18,476.41
ORD000036,C03650,P0039,2024-05-22,9,128.99,0,0,quick,True,8,128.99
ORD000037,C04718,P0468,2024-03-20,9,989.88,99,0,quick,False,7,1088.88
ORD000038,C01438,P0178,2024-04-20,9,329.91,0,0,quick,False,9,329.91
ORD000039,C04314,P0128,2024-06-21,4,134.23,0,200,standard,False,23,-65.77000000000001
ORD000040,C01484,P0446,2024-02-22,9,113.59,49,0,standard,False,13,162.59
ORD000041,C00690,P0372,2024-02-17,4,1974.23,0,0,standard,False,16,1974.23
ORD000042,C01012,P0067,2024-07-13,2,302.32,49,50,standard,False,3,301.32
ORD000043,C04542,P0457,2024-02-19,3,514.82,0,200,quick,False,23,314.82000000000005
ORD000044,C02347,P0153,2024-07-02,2,2204.13,0,100,express,True,1,2104.13
ORD000045,C03708,P0423,2024-06-25,1,540.14,0,50,standard,False,11,490.14
ORD000046,C04470,P0002,2024-11-05,6,156.31,0,50,standard,True,8,106.31
ORD000047,C01922,P0363,2024-05-15,4,660.97,0,100,standard,False,20,560.97
ORD000048,C00637,P0377,2024-01-23,7,163.63,0,200,express,False,16,-36.370000000000005
ORD000049,C03008,P0264,2024-08-23,7,168.94,99,100,express,True,11,167.94
ORD000050,C02233,P0415,2024-10-01,1,1433.91,0,200,quick,False,3,1233.91
ORD000051,C02125,P0450,2024-03-04,9,338.17,149,200,quick,False,1,287.17
ORD000052,C03457,P0003,2024-07-12,8,893.7,0,200,standard,False,20,693.7
ORD000053,C04289,P0261,2024-02-10,1,596.81,49,50,standard,False,3,595.81
ORD000054,C03174,P0328,2024-10-09,8,275.01,0,200,standard,False,14,75.00999999999999
ORD000055,C03688,P0281,2024-05-30,5,609.61,0,100,express,False,9,509.61
ORD000056,C01399,P0385,2024-11-17,1,149.04,0,50,quick,False,18,99.03999999999999
ORD000057,C02334,P0449,2024-11-12,4,397.55,149,200,standard,False,23,346.54999999999995
ORD000058,C01505,P0369,2024-07-04,7,616.93,149,0,standard,False,0,765.93
ORD000059,C00249,P0084,2024-10-22,5,280.5,0,0,standard,True,14,280.5
ORD000060,C00535,P0341,2024-04-08,3,854.55,149,200,standard,False,10,803.55
ORD000061,C03532,P0386,2024-12-26,4,136.24,0,0,quick,False,7,136.24
