product_id,name,category,price,is_perishable,box_size_used,actual_size_needed,stock_level,reorder_point,seller_id,is_authentic
P0000,leverage vertical users,Beauty,265.95,False,XL,XL,182,93,S010,False
P0001,innovate plug-and-play channels,Grocery,654.31,False,M,L,37,30,S003,True
P0002,brand frictionless vortals,Electronics,1359.92,True,M,M,416,98,S032,True
P0003,re-intermediate sticky experiences,Electronics,229.16,False,M,L,115,27,S046,True
P0004,seize 24/365 info-mediaries,Electronics,961.42,False,XL,S,101,78,S011,True
P0005,aggregate bricks-and-clicks users,Beauty,411.75,False,S,M,7,40,S008,False
P0006,mesh clicks-and-mortar deliverables,Home,432.87,False,M,S,217,84,S031,True
P0007,target turn-key platforms,Grocery,966.57,True,L,S,206,43,S010,True
P0008,embrace innovative relationships,Home,602.39,False,L,M,77,49,S036,True
P0009,deliver killer relationships,Electronics,1436.19,False,L,S,367,76,S023,True
P0010,incubate strategic schemas,Home,234.6,False,L,M,403,99,S006,True
P0011,exploit end-to-end action-items,Grocery,1347.32,False,M,M,54,92,S007,True
P0012,re-intermediate customized content,Fashion,152.11,True,L,M,303,36,S032,True
P0013,extend cross-media channels,Home,271.59,False,L,S,466,78,S024,True
P0014,aggregate ubiquitous vortals,Fashion,953.04,True,XL,S,439,50,S000,True
P0015,strategize extensible systems,Home,1643.41,False,M,M,480,83,S002,True
P0016,facilitate global infrastructures,Home,332.01,False,XL,XL,227,67,S039,True
P0017,engage turn-key ROI,Grocery,416.04,False,L,S,87,42,S027,True
P0018,enhance intuitive eyeballs,Beauty,715.23,False,S,S,9,89,S042,True
P0019,cultivate front-end web-readiness,Electronics,289.17,True,L,L,307,49,S032,True
P0020,incubate robust e-markets,Beauty,1432.47,False,S,S,433,74,S045,True
P0021,e-enable virtual markets,Fashion,1287.49,False,XL,L,289,26,S000,True
P0022,incentivize customized channels,Grocery,224.6,False,XL,M,163,94,S037,True
P0023,leverage best-of-breed portals,Grocery,597.64,True,M,M,238,31,S026,True
P0024,brand magnetic e-services,Home,1291.71,False,M,S,316,79,S037,True
P0025,drive web-enabled vortals,Electronics,428.18,False,M,S,483,71,S034,True
P0026,e-enable frictionless e-services,Grocery,901.15,False,M,S,143,46,S009,False
P0027,repurpose cross-platform schemas,Home,140.21,False,M,L,334,31,S011,False
P0028,maximize viral ROI,Grocery,849.6,False,M,L,17,32,S009,True
P0029,monetize real-time web-readiness,Electronics,231.52,False,L,M,70,91,S033,True
P0030,leverage turn-key paradigms,Electronics,1519.32,False,M,L,174,99,S023,True
P0031,synergize transparent initiatives,Electronics,450.36,True,XL,S,341,81,S027,True
P0032,reinvent 24/365 solutions,Grocery,363.53,False,XL,M,287,48,S021,True
P0033,integrate transparent action-items,Grocery,1569.52,False,L,M,298,54,S044,True
P0034,engage back-end paradigms,Home,140.16,False,XL,L,338,79,S015,True
P0035,incubate web-enabled methodologies,Fashion,503.15,False,M,S,423,48,S012,False
P0036,reinvent rich channels,Fashion,468.63,False,S,M,247,50,S035,True
P0037,brand cross-platform networks,Grocery,367.15,True,L,L,192,96,S035,True
P0038,syndicate front-end content,Grocery,2041.1,False,L,M,418,95,S042,True
P0039,synergize clicks-and-mortar infrastructures,Home,1211.01,False,L,S,324,80,S022,True
P0040,morph interactive convergence,Grocery,151.85,False,XL,M,305,21,S013,True
P0041,drive ubiquitous info-mediaries,Fashion,1102.34,False,XL,S,267,52,S031,True
P0042,empower B2C experiences,Grocery,698.43,False,L,M,203,91,S002,True
P0043,repurpose sticky ROI,Home,1948.04,True,L,XL,340,81,S026,True
P0044,utilize virtual infrastructures,Beauty,399.27,False,S,M,122,78,S018,True
P0045,engage dynamic relationships,Fashion,781.96,False,M,M,57,59,S021,True
P0046,transform interactive relationships,Electronics,654.73,False,L,M,338,68,S000,True
P0047,scale end-to-end markets,Electronics,636.99,False,L,S,446,51,S004,False
P0048,synergize interactive applications,Grocery,586.2,True,L,S,200,57,S048,True
P0049,engineer dot-com functionalities,Electronics,283.16,True,M,XL,490,98,S032,True
P0050,morph web-enabled interfaces,Fashion,1226.52,False,L,M,432,32,S018,False
P0051,aggregate sticky schemas,Fashion,579.22,False,M,S,111,73,S035,True
P0052,disintermediate dot-com e-business,Beauty,2644.96,False,L,S,127,95,S005,True
P0053,extend granular info-mediaries,Fashion,340.76,False,M,M,35,32,S014,True
P0054,deliver B2C partnerships,Grocery,1017.44,False,S,L,233,58,S035,True
P0055,whiteboard killer users,Electronics,2359.35,False,M,L,309,42,S032,True
P0056,iterate intuitive e-commerce,Electronics,970.23,True,M,S,46,33,S023,True
P0057,deliver plug-and-play architectures,Beauty,1739.05,False,XL,XL,114,36,S026,False
P0058,iterate customized convergence,Fashion,1504.8,False,S,M,415,43,S048,True
P0059,engineer rich metrics,Fashion,456.18,True,M,M,254,77,S010,True
P0060,redefine strategic bandwidth,Electronics,832.28,False,L,M,482,82,S048,True
P0061,embrace wireless vortals,Home,234.93,False,L,S,222,53,S022,True
P0062,streamline innovative convergence,Grocery,712.48,False,S,XL,123,70,S032,True
P0063,repurpose user-centric web services,Electronics,308.53,True,S,S,436,29,S040,True
P0064,revolutionize rich models,Electronics,1188.24,False,XL,S,159,91,S045,True
P0065,synergize impactful vortals,Home,699.72,False,L,L,445,40,S046,True
P0066,optimize clicks-and-mortar eyeballs,Grocery,522.77,True,M,M,420,56,S028,False
P0067,deploy dot-com paradigms,Fashion,349.45,False,L,L,95,26,S030,True
P0068,repurpose customized e-services,Grocery,5414.38,False,M,M,106,32,S000,True
P0069,expedite clicks-and-mortar channels,Grocery,158.53,False,M,M,119,99,S033,True
P0070,syndicate best-of-breed info-mediaries,Grocery,134.63,False,L,XL,100,49,S017,True
P0071,deliver B2C info-mediaries,Beauty,294.96,False,XL,S,102,50,S017,True
P0072,monetize enterprise e-services,Fashion,2933.37,False,M,L,165,24,S005,True
P0073,matrix impactful e-business,Electronics,3198.71,False,XL,S,413,51,S039,True
P0074,harness distributed schemas,Home,950.2,False,M,L,185,35,S000,True
P0075,re-contextualize real-time metrics,Grocery,1795.92,False,M,S,31,92,S046,True
P0076,synthesize front-end technologies,Fashion,291.6,False,S,M,492,41,S041,True
P0077,re-intermediate robust applications,Home,2960.64,True,M,L,65,83,S029,True
P0078,innovate virtual e-services,Home,222.25,False,XL,M,178,63,S003,True
P0079,matrix granular methodologies,Home,184.29,False,L,L,266,59,S031,True
P0080,strategize clicks-and-mortar mindshare,Home,194.22,False,S,L,442,56,S009,False
P0081,evolve integrated platforms,Home,780.02,False,XL,L,403,97,S042,True
P0082,drive plug-and-play e-markets,Fashion,1313.85,True,XL,XL,36,35,S004,True
P0083,benchmark intuitive experiences,Grocery,464.41,False,L,M,200,62,S008,True
P0084,unleash seamless infrastructures,Grocery,3148.6,False,XL,S,357,82,S004,False
P0085,deploy customized portals,Fashion,554.92,True,M,S,48,34,S010,True
P0086,empower compelling infrastructures,Electronics,229.44,False,XL,S,274,63,S034,True
P0087,envisioneer efficient portals,Home,600.84,False,L,S,438,28,S026,False
P0088,generate scalable architectures,Fashion,1008.14,False,XL,M,167,84,S003,True
P0089,utilize real-time bandwidth,Home,1527.11,False,L,S,262,63,S009,True
P0090,disintermediate cutting-edge ROI,Electronics,590.13,False,M,S,132,39,S038,True
