return_id,order_id,reason,return_attempt_hour,pickup_available
RET00000,ORD009667,not as shown,15,True
RET00001,ORD002256,color mismatch,6,True
RET00002,ORD009533,quality issue,16,True
RET00003,ORD009717,damaged,20,True
RET00004,ORD003189,color mismatch,20,True
RET00005,ORD003279,changed mind,13,False
RET00006,ORD004940,wrong size,10,True
RET00007,ORD002728,changed mind,13,True
RET00008,ORD008847,wrong size,6,False
RET00009,ORD009546,quality issue,23,False
RET00010,ORD006225,color mismatch,15,True
RET00011,ORD007809,changed mind,23,True
RET00012,ORD006727,counterfeit suspected,0,True
RET00013,ORD003036,changed mind,19,False
RET00014,ORD004754,quality issue,21,False
RET00015,ORD008296,wrong size,9,False
RET00016,ORD009747,color mismatch,10,True
RET00017,ORD001970,not as shown,14,False
RET00018,ORD005718,quality issue,17,False
RET00019,ORD001141,color mismatch,15,True
RET00020,ORD000968,color mismatch,22,False
RET00021,ORD007046,color mismatch,13,True
RET00022,ORD000981,not as shown,20,False
RET00023,ORD007242,not as shown,4,True
RET00024,ORD009142,not as shown,14,True
RET00025,ORD007747,wrong size,11,False
RET00026,ORD007034,wrong size,20,False
RET00027,ORD003811,wrong size,20,False
RET00028,ORD007207,wrong size,15,False
RET00029,ORD002788,quality issue,19,False
RET00030,ORD002960,wrong size,10,False
RET00031,ORD005943,quality issue,23,False
RET00032,ORD008601,color mismatch,19,True
RET00033,ORD004989,wrong size,15,False
RET00034,ORD007021,wrong size,7,True
RET00035,ORD000728,damaged,22,True
RET00036,ORD004095,damaged,7,True
RET00037,ORD006837,color mismatch,1,False
RET00038,ORD003681,wrong size,3,True
RET00039,ORD000615,quality issue,2,True
RET00040,ORD000335,quality issue,22,True
RET00041,ORD005087,not as shown,8,False
RET00042,ORD000465,wrong size,15,True
RET00043,ORD009997,not as shown,12,False
RET00044,ORD006314,not as shown,12,False
RET00045,ORD008904,not as shown,5,False
RET00046,ORD006672,not as shown,19,True
RET00047,ORD003180,changed mind,3,True
RET00048,ORD002365,damaged,18,True
RET00049,ORD003651,color mismatch,21,False
RET00050,ORD006959,counterfeit suspected,11,True
RET00051,ORD006002,quality issue,2,True
RET00052,ORD009792,wrong size,20,False
RET00053,ORD009501,not as shown,4,True
RET00054,ORD007056,quality issue,4,True
RET00055,ORD006395,changed mind,10,False
RET00056,ORD004721,color mismatch,22,False
RET00057,ORD001905,wrong size,13,True
RET00058,ORD003869,changed mind,20,True
RET00059,ORD006966,counterfeit suspected,16,True
RET00060,ORD007882,changed mind,6,False
RET00061,ORD002504,color mismatch,6,True
RET00062,ORD009162,wrong size,2,False
RET00063,ORD000508,changed mind,5,False
RET00064,ORD009532,damaged,13,True
RET00065,ORD000517,counterfeit suspected,20,True
RET00066,ORD002930,wrong size,16,True
RET00067,ORD002724,not as shown,6,True
RET00068,ORD002023,damaged,19,False
RET00069,ORD004214,color mismatch,1,True
RET00070,ORD005688,quality issue,17,False
RET00071,ORD009955,wrong size,7,False
RET00072,ORD007116,wrong size,12,True
RET00073,ORD002798,counterfeit suspected,18,False
RET00074,ORD002789,counterfeit suspected,5,False
RET00075,ORD009457,color mismatch,23,True
RET00076,ORD006793,counterfeit suspected,22,False
RET00077,ORD008486,quality issue,18,True
RET00078,ORD007042,color mismatch,17,True
RET00079,ORD008890,damaged,23,True
RET00080,ORD000357,damaged,6,True
RET00081,ORD009965,not as shown,1,False
RET00082,ORD004627,damaged,20,True
RET00083,ORD005611,counterfeit suspected,4,True
RET00084,ORD008510,changed mind,9,True
RET00085,ORD003954,not as shown,17,True
RET00086,ORD004310,wrong size,7,True
RET00087,ORD005623,quality issue,10,False
RET00088,ORD002340,wrong size,15,True
RET00089,ORD005193,wrong size,1,False
RET00090,ORD006335,changed mind,22,True
RET00091,ORD004070,color mismatch,21,True
RET00092,ORD006445,damaged,22,True
RET00093,ORD003611,damaged,8,True
RET00094,ORD007332,quality issue,20,True
RET00095,ORD003364,wrong size,22,False
RET00096,ORD006533,damaged,13,True
RET00097,ORD002260,changed mind,19,False
RET00098,ORD003726,damaged,19,False
RET00099,ORD003885,not as shown,8,False
RET00100,ORD002543,not as shown,6,False
RET00101,ORD002252,color mismatch,23,False
RET00102,ORD005083,counterfeit suspected,8,False
RET00103,ORD009100,not as shown,10,True
RET00104,ORD003013,color mismatch,6,False
RET00105,ORD007800,wrong size,4,False
RET00106,ORD001260,color mismatch,3,True
RET00107,ORD005475,damaged,10,True
RET00108,ORD004939,changed mind,3,True
RET00109,ORD005076,color mismatch,22,True
RET00110,ORD008842,color mismatch,16,True
RET00111,ORD007791,counterfeit suspected,16,False
RET00112,ORD009474,damaged,7,True
RET00113,ORD001012,wrong size,5,True
RET00114,ORD003204,changed mind,16,True
RET00115,ORD005567,color mismatch,10,True
RET00116,ORD004577,damaged,20,False
RET00117,ORD007249,not as shown,11,True
RET00118,ORD003516,quality issue,7,False
RET00119,ORD008927,wrong size,0,True
RET00120,ORD007957,counterfeit suspected,7,True
RET00121,ORD003896,not as shown,18,True
RET00122,ORD001713,wrong size,18,True
RET00123,ORD009019,quality issue,3,True
RET00124,ORD003813,wrong size,23,True
RET00125,ORD003833,quality issue,7,False
RET00126,ORD002868,wrong size,17,True
RET00127,ORD002553,color mismatch,1,False
RET00128,ORD009695,counterfeit suspected,20,True
RET00129,ORD008112,color mismatch,0,False
RET00130,ORD007685,not as shown,7,True
RET00131,ORD008254,color mismatch,8,True
RET00132,ORD008360,not as shown,19,False
RET00133,ORD001879,damaged,7,False
RET00134,ORD009234,wrong size,14,True
