seller_id,total_products,fake_product_rate,avg_price,price_std,counterfeit_complaints,total_returns,complaint_rate,anomaly_score,is_suspicious,risk_tier
S000,13,0.07692307692307693,1032.27,1364.0401422856537,2.0,22,0.14285714285714285,0.47299288363460196,False,Medium Risk
S001,7,0.14285714285714285,571.4714285714285,399.65331644766695,1.0,7,0.125,0.42178254920145003,False,Low Risk
S002,11,0.09090909090909091,991.1972727272728,672.7552172981032,2.0,18,0.16666666666666666,0.3933088284210409,False,Low Risk
S003,11,0.09090909090909091,954.0145454545454,1078.0242303989612,0.0,15,0.0,0.4981562441663234,False,Medium Risk
S004,12,0.25,1052.3625,809.2794782355362,3.0,23,0.23076923076923078,0.4727037688406742,False,Medium Risk
S005,10,0.0,1241.498,1008.8331213590834,0.0,14,0.0,0.4826300790167896,False,Medium Risk
S006,10,0.4,842.5619999999999,741.4140520473923,4.0,27,0.36363636363636365,0.5107585873298596,False,Medium Risk
S007,11,0.09090909090909091,1371.7918181818181,990.8784404034451,4.0,22,0.3333333333333333,0.5399871722311438,True,High Risk
S008,10,0.1,805.484,717.0561621766844,4.0,21,0.36363636363636365,0.44849712469010367,False,Low Risk
S009,14,0.35714285714285715,731.845,574.8198931136872,5.0,26,0.3333333333333333,0.555942528360408,True,High Risk
S010,14,0.14285714285714285,799.4757142857143,747.4907062217644,5.0,20,0.3333333333333333,0.5100777065890999,False,Medium Risk
S011,7,0.2857142857142857,1055.162857142857,907.0340098863306,1.0,13,0.125,0.4604058901138026,False,Low Risk
S012,9,0.3333333333333333,692.1733333333334,379.5626246747696,0.0,21,0.0,0.5269128447251422,False,Medium Risk
S013,10,0.0,571.739,448.98445190723976,2.0,18,0.18181818181818182,0.41304105667585483,False,Low Risk
S014,10,0.1,371.579,248.9072162004683,2.0,19,0.18181818181818182,0.47000383967978154,False,Medium Risk
S015,12,0.08333333333333333,574.8433333333334,497.31812535444607,1.0,24,0.07692307692307693,0.41980022444055476,False,Low Risk
S016,8,0.125,988.94,682.1372833339971,1.0,18,0.1111111111111111,0.403398094340305,False,Low Risk
S017,10,0.0,1152.867,1376.7213203037456,2.0,16,0.18181818181818182,0.4719049249266695,False,Medium Risk
S018,8,0.125,961.90375,697.7673552315167,1.0,16,0.1111111111111111,0.4002922684724296,False,Low Risk
S019,10,0.1,1255.042,807.5664936750821,2.0,17,0.18181818181818182,0.4294734818412155,False,Low Risk
S020,11,0.0,445.6954545454546,345.78042021964274,1.0,16,0.08333333333333333,0.44701674511370415,False,Low Risk
S021,10,0.1,523.97,226.81855822563452,1.0,16,0.09090909090909091,0.4411654518923714,False,Low Risk
S022,10,0.0,785.208,723.8910355049608,0.0,22,0.0,0.4633328037940058,False,Medium Risk
S023,13,0.15384615384615385,866.1546153846155,505.8983322700222,3.0,23,0.21428571428571427,0.44105809751753033,False,Low Risk
S024,11,0.09090909090909091,676.8509090909091,452.7341160428391,2.0,22,0.16666666666666666,0.3846684346470858,False,Low Risk
S025,10,0.4,951.039,904.5081939614108,3.0,20,0.2727272727272727,0.5054709241729668,False,Medium Risk
S026,8,0.375,884.3299999999999,638.246037086908,2.0,17,0.2222222222222222,0.4759762746941715,False,Medium Risk
S027,8,0.0,853.19625,763.6693059908196,1.0,9,0.1111111111111111,0.41866003591827594,False,Low Risk
S028,11,0.09090909090909091,675.2027272727272,456.8020482241933,4.0,25,0.3333333333333333,0.45827881611851407,False,Low Risk
S029,7,0.14285714285714285,1127.5742857142857,947.3815530864906,1.0,25,0.125,0.43553961952502196,False,Low Risk
S030,10,0.1,789.851,613.8986148189834,3.0,22,0.2727272727272727,0.42192517073757385,False,Low Risk
S031,11,0.18181818181818182,690.1827272727273,476.3386598018454,2.0,21,0.16666666666666666,0.39498257795345365,False,Low Risk
S032,17,0.0,860.3264705882353,720.0756820374958,2.0,31,0.1111111111111111,0.4968205376519216,False,Medium Risk
S033,13,0.23076923076923078,693.2884615384615,508.3466455718013,1.0,22,0.07142857142857142,0.4389654331288541,False,Low Risk
S034,13,0.15384615384615385,586.1392307692308,327.37945935518354,2.0,24,0.14285714285714285,0.43246097963840346,False,Low Risk
S035,17,0.17647058823529413,796.0376470588235,466.7558789336431,1.0,27,0.05555555555555555,0.5083053532114976,False,Medium Risk
S036,3,0.0,601.3166666666667,336.3512844234928,0.0,3,0.0,0.5301150057154492,True,Medium Risk
S037,10,0.1,643.327,522.5361147976068,1.0,10,0.09090909090909091,0.389780768109979,False,Low Risk
S038,12,0.0,1378.4400000000003,1621.4295257804845,2.0,21,0.15384615384615385,0.5297300991294988,False,Medium Risk
S039,4,0.0,1295.145,1290.2016119067077,0.0,5,0.0,0.5667391752960984,True,High Risk
S040,9,0.3333333333333333,582.42,521.4627346944363,2.0,13,0.2,0.45560543616229515,False,Low Risk
S041,7,0.5714285714285714,672.2942857142858,350.1649231365673,1.0,13,0.125,0.5547537041169767,True,High Risk
S042,12,0.16666666666666666,1322.07,1183.6589847433409,1.0,15,0.07692307692307693,0.4882824557142982,False,Medium Risk
S043,6,0.0,1471.45,1034.000598781258,1.0,9,0.14285714285714285,0.5165662658841026,False,Medium Risk
